,0
20,7
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,8
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,4
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,8
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,7
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,7
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,7
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,4
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,7
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,9
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,8
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,7
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,8
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,6
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,8
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,8
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,8
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,8
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,8
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,9
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,6
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,9
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,8
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,9
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,8
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,8
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,8
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,8
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,7
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,7
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,8
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,9
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,8
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,6
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,4
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,8
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,8
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,7
21,2
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,8
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,9
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,9
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,8
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,7
21,1
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,10
21,3
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,8
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,9
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,3
9,0
10,0
11,0
12,0
13,0
14,0
